Security Code,Security Id,Security Name,Group,Face Value,Industry,INR
530773,IVRCLINFRA,IVRCL LTD,B ,2,Construction &amp; Engineering,5.6
539410,SIENERGY,Sinner Energy India Ltd,XT,1,Comm.Trading  &amp; Distribution,5.61
512624,REGENTRP,Regent Enterprises Ltd,XT,10,Other Financial Services,5.65
531472,CYBELEIND,CYBELE INDUSTRIES LTD.,XT,10,Other Elect.Equip./ Prod.,5.65
509563,GARWAMAR,GARWARE MARINE INDUSTRIES LTD.,XT,10,Textiles,5.67
539660,SAHYOGMULT,Sahyog Multibase Ltd,XT,10,Other Financial Services,5.68
531099,RUBRAME,RUBRA MEDICAMENTS LTD.,XT,10,Pharmaceuticals,5.7
531288,LEADFIN,LEAD FINANCIAL SERVICES LTD.,XT,10,Finance (including NBFCs),5.74
502563,SHBHAWPA,SHREE BHAWANI PAPER MILLS LTD.,XT,10,Paper &amp; Paper Products,5.75
532609,BHARATIDIL,Bharati Defence and Infrastructure Ltd,Z ,10,Commercial Vehicles,5.75
506543,MPAGI,M.P.AGRO INDUSTRIES LTD.,P ,10,Fertilizers,5.76
526823,RAJINFRA,Rajeswari Infrastructure Limited,XT,10,Realty,5.79
500083,CENTEXT,CENTURY EXTRUSIONS LTD.,B ,1,Aluminium,5.81
538708,ETIL,Econo Trade (India) Ltd,XT,10,Finance (including NBFCs),5.84
524516,BACPHAR,BACIL PHARMA LTD.,XT,10,Pharmaceuticals,5.85
533157,SYNCOM,Syncom Healthcare Ltd,B ,10,Pharmaceuticals,5.89
520127,BALTE,BALURGHAT TECHNOLOGIES LTD.,XT,10,Surface Transportation,5.93
532350,PADMALAYAT,PADMALAYA TELEFILMS LTD.,XT,10,Movies &amp; Entertainment,5.98
533499,BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD.,T ,10,IT Consulting &amp; Software,5.99
514113,ADINATH,ADINATH TEXTILES LTD.,XT,10,Textiles,6
526195,NOGMIND,NEOGEM INDIA LTD.,XT,10,Other Apparels &amp; Accessories,6
526795,MHSGRMS,MAHASAGAR TRAVELS LTD.,P ,10,Surface Transportation,6
531409,ALCHCORP,ALCHEMIST CORPORATION LTD.,XT,10,Commodity Chemicals,6
511000,MADHUSE,MADHUSUDAN SECURITIES LTD.,XT,10,Finance (including NBFCs),6.01
532604,SALSTEEL,S.A.L.STEEL LTD.,T ,10,Iron &amp; Steel/Interm.Products,6.1
532746,UNITY,UNITY INFRAPROJECTS LTD.,T ,2,Construction &amp; Engineering,6.1
502448,ROLLT,ROLLATAINERS LTD.,T ,1,Containers &amp; Packaging,6.13
531339,JAIHINDPRO,JAIHIND PROJECTS LTD.,B ,10,Construction &amp; Engineering,6.18
531594,INCON,INCON ENGINEERS LTD.,XT,10,Industrial Machinery,6.2
537582,UNISHIRE,Unishire Urban Infra Ltd,M ,10,Realty,6.24
503881,HINDSYNTEX,HIND SYNTEX LTD.,T ,10,Textiles,6.3
530405,JINDCAP,JINDAL CAPITAL LTD.,XT,10,Other Financial Services,6.3
531518,VIKASGRAN,VIKAS GRANARIES LTD.,XT,10,Other Agricultural Products,6.31
539384,KRISHNACAP,Krishna Capital and Securities Ltd,XT,10,Finance (including NBFCs),6.32
523652,KKPLASTICK,Kkalpana Plastick Limited,XT,10,Plastic Products,6.34
522237,SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,XT,10,Industrial Machinery,6.38
517530,SURANAT&amp;P,Surana Telecom And Power Limited,T ,1,Telecom Cables,6.39
515018,REGENCERAM,REGENCY CERAMICS LTD.,T ,10,Furniture-Furnishing-Paints,6.4
526901,SONALAD,SONAL ADHESIVES LTD.,XT,10,Commodity Chemicals,6.44
530721,ANGIND,ANG Industries Limited,B ,10,Auto Parts &amp; Equipment,6.45
532775,GTLINFRA,GTL INFRASTRUCTURE LTD.,B ,10,Telecom Equipment,6.45
517552,ADVNCMIC,ADVANCED MICRONIC DEVICES LTD.-$,Z ,10,Diversified,6.5
509550,GAMMONIND,GAMMON INDIA LTD.,Z ,2,Construction &amp; Engineering,6.61
504697,GALADA,GALADA POWER &amp; TELECOMMUNICATION LTD.,XT,10,Other Elect.Equip./ Prod.,6.62
530777,INFRAIND,INFRA INDUSTRIES LTD.,XT,10,Plastic Products,6.65
540189,UPROTECH,Unipro Technologies Ltd,XT,10,,6.73
539168,SPISYS,Spisys Ltd,Z ,10,Other Food Products,6.81
532371,TTML,TATA TELESERVICES (MAHARASHTRA) LTD.,T ,10,Telecom Services,6.84
530595,TELECANOR,TELECANOR GLOBAL LTD.,XT,10,IT Software Products,6.85
532701,SREESAKHTI,SREE SAKTHI PAPER MILLS LTD.,XT,10,Paper &amp; Paper Products,6.88
532718,PRATIBHA,PRATIBHA INDUSTRIES LTD.,T ,2,Construction &amp; Engineering,6.9
517556,PVP,PVP VENTURES LTD.,B ,10,Realty,6.93
532908,SHARONBIO,SHARON BIO-MEDICINE LTD.-$,Z ,2,Pharmaceuticals,6.93
507490,RANASUG,RANA SUGARS LTD.,B ,10,Sugar,6.95
532627,JPPOWER,Jaiprakash Power Ventures Limited,B ,10,Electric Utilities,6.97
533605,PRAKASHCON,PRAKASH CONSTROWELL LTD.,B ,1,Construction &amp; Engineering,6.97
526935,MBPARIKH,M.B.PARIKH FINSTOCKS LTD.,XT,10,Other Financial Services,7
532854,NITINFIRE,NITIN FIRE PROTECTION INDUSTRIES LTD.,B ,2,Industrial Machinery,7
539680,GANGAPHARM,Ganga Pharmaceuticals Ltd,MT,10,Pharmaceuticals,7
530065,LORDSHOTL,Lords Ishwar Hotels Limited,XT,10,Hotels,7.03
532102,SBECSUG,SBEC SUGAR LTD.,XT,10,Sugar,7.05
519367,TRANSFD,TRANSGLOBE FOODS LTD.,XT,10,Non-alcoholic Beverages,7.06
523650,REDEXPR,REDEX PROTECH LTD.,XT,10,Industrial Machinery,7.09
530705,FLORATX,FLORA TEXTILES LTD.,P ,10,Textiles,7.1
533203,TARAPUR,Tarapur Transformers Ltd,T ,10,Heavy Electrical Equipment,7.13
523592,JENSONICOL,JENSON &amp; NICHOLSON (INDIA) LTD.,T ,2,Furniture-Furnishing-Paints,7.14
524675,KABSON,KABSONS INDUSTRIES LTD.,XT,10,Comm.Trading  &amp; Distribution,7.18
